"Professor_ID","Professor_Name","Role","University","Department","Previous_Education_1_Programme","Previous_Education_1_Institution","Previous_Education_1_Year","Previous_Education_2_Programme","Previous_Education_2_Institution","Previous_Education_2_Year","Previous_Education_3_Programme","Previous_Education_3_Institution","Previous_Education_3_Year","Previous_Education_4_Programme","Previous_Education_4_Institution","Previous_Education_4_Year","Previous_Education_5_Programme","Previous_Education_5_Institution","Previous_Education_5_Year","Total_Publications"
390148,"Prof  Anuradha  Jain","Principal","Vivekananda Institute of Professional Studies, Delhi","School of Economics","EPLM","IIM Calcutta",2018,"Ph.D","Mahatma Jyotiba Phule Rohilkhand University",2010,"MA","University of Bombay",1995,"BA","University of Bombay",1993,,,,55
366107,"Dr  Deepa Dani","Assistant Professor (Grade-II)","Ness Wadia College of Commerce, Pune","Business Economics","Ph.D.","Savitribai Phule Pune University",2018,"M. Phil.","University of Cambridge",2004,"M.A. (Economics)","Rani Durgavati Vishwavidyalaya",2002,"B.Com.","Rani Durgavati Vishwavidyalaya",2002,"PG Diploma in Public Administration","Rani Durgavati Vishwavidyalaya",2001,
183407,"Dr  K  RAJALAKSHMI","Assistant Professor","CHEVALIER T THOMAS ELIZABETH COLLEGE FOR WOMEN","Economics","Ph.D","University of Madras",2019,"SET","Mother Teresa Womens University",2016,,,,,,,,,,3
514604,"Dr  S.Beulah Assistant Professor of Economics Popes College Sawyerpuram ","Assistant Lecturer","POPES College, Sawyerpuram - 628 251","Economics","PhD","",2006,,,,,,,,,,,,,
230810,"Dr  Suchismita Satpathy","Associate Professor","Birla Institute of Technology and Science, Pilani","Department of Humanities and Social Sciences",,,,,,,,,,,,,,,,4
425025,"Dr  Ushmita Gupta","Assistant Professor (Grade-III)","Sri Balaji University, Pune","International Business","Ph.D","University of Lucknow",2012,,,,,,,,,,,,,5
213222,"Dr A Shayin","Assistant Professor","Justice Basheer Ahmed Sayeed College for Women","Department of Economics","Ph.D","The New College,Chennai",2014,"M.Phil","The New College,Chennai",2005,"M.A","Annamalai University",2003,"B.A","Justice Basheer Ahmed Sayeed College For Women",2001,,,,6
115646,"Dr ANU SINGH","Assistant Professor","Christ University","School of Law","Ph.D","Giri Institute of Development Studies",2008,,,,,,,,,,,,,
237447,"Dr Aarti Garg","Assistant Professor","IFTM University","School of Social Science","Ph.D","CCS UNIVERSITY, MEERUT",2017,,,,,,,,,,,,,
117179,"Dr Adaina KC","Assistant Professor","Christ University","Department of Economics",,,,,,,,,,,,,,,,
155769,"Dr Aditi  Chaubal","Associate Professor","Indian Institute of Technology Bombay","","Ph.D","Indira Gandhi Institute of Development Research, Mumbai",2017,"M.Sc.","Indira Gandhi Institute of Development Research",2009,"B.Sc.","St. Xaviers College, Mumbai",2007,,,,,,,10
102383,"Dr Aditi Bhutoria","Assistant Professor","Indian Institute of Management Calcutta","Public Policy and Management","Ph.D","",,,,,,,,,,,,,,5
145550,"Dr Akanksha Choudhary","Assistant Professor","Indian Institute of Technology Jodhpur","School of Liberal Arts (SoLA)","Ph.D.","Indian Institute of Technology, Bombay",2020,,,,,,,,,,,,,6
59181,"Dr Alagumani T","Professor","Tamil Nadu Rice Research Institute, Aduthurai","Department of Agricultural Economics","Ph.D.","",,,,,,,,,,,,,,
209725,"Dr Alice Pongener","Assistant Professor","Nagaland University","Department of Economics (Lumami Campus)","Ph.D","",,,,,,,,,,,,,,
295413,"Dr Alka Chadha","Associate Professor","Indian Institute of Management, Sirmaur","Economics","Ph.D.","National University of Singapore",2006,,,,,,,,,,,,,11
191550,"Dr Alli  Pandiyathuray","Assistant Professor","Vellore Institute of Technology","School of Social Sciences and Languages","PhD","Bharathidasan University, Tiruchirapalli",2011,,,,,,,,,,,,,5
87265,"Dr Alli P","Assistant Professor","Vellore Institute of Technology","SOCIAL SCIENCES","Ph.D","Bharathidasan University",2013,,,,,,,,,,,,,8
57236,"Dr Alpana Kateja","Professor","University of Rajasthan","Department of Economics","Ph.D","",,,,,,,,,,,,,,3
275498,"Prof Amita Majumder","Retired Professor","Indian Statistical Institute","Economic Research Unit (ERU)",,,,,,,,,,,,,,,,3
364004,"Dr Amrita Nath","Assistant Professor","Brainware University","Department of Management","M.A. (Economics)","Assam University",2011,,,,,,,,,,,,,1
360949,"Dr Amrita Purakayastha","Assistant Professor (Grade-I)","Vellore Institute of Technology - Andhra Pradesh","School of Social Sciences and Humanities","Ph.D","Bharathiar University, Coimbatore, Tamil Nadu",2021,,,,,,,,,,,,,
99437,"Dr Amrita Roy","Assistant Professor","Indian Institute of Technology Palakkad","Department of Humanities and Social Sciences","Ph.D","Jawaharlal Nehru University",2014,,,,,,,,,,,,,5
114129,"Dr Amrita Shergill","Assistant Professor","Panjab University, Chandigarh","Department of Economics","Ph.D","Panjab University, Chandigarh",,,,,,,,,,,,,,1
111270,"Dr Amutha A","Assistant Professor","PSG College of Arts and Science","Department of Economics","Ph.D","Bharathiar University",2018,,,,,,,,,,,,,
196883,"Dr Amutha D","Associate Professor","St Mary's College (Autonomous)","economics","PhD","Manonmaniam Sundaranar University, Tirunelveli",2011,,,,,,,,,,,,,127
143830,"Dr Anamika Moktan","Assistant Professor","Visva-Bharati University","Economics and Politics","Ph.D","Visva-Bharati University",2023,,,,,,,,,,,,,6
317038,"Dr Ananya Kashyap","Assistant Professor","Assam Don Bosco University","Department of Economics","Ph.D.","Bharathidasan University",2021,"MA","Manonmaniam Sundaranar University",2020,"Master in Business Economics","Gauhati University",2014,"BA","Holy Cross College, Tiruchirappalli",2012,,,,
118818,"Dr Ananya Mitra","Assistant Professor","Kalinga Institute of Industrial Technology","School of Humanities","Ph.D","",,,,,,,,,,,,,,
291421,"Dr Anici Subha","Assistant Professor","Sarah Tucker College, Perumalpuram","Department of Economics","MA, SET, P.hD","Sarah Tucker College, Perumalpuram",2023,"MA, SET","Sarah Tucker College, Perumalpuram",2013,,,,,,,,,,
112037,"Dr Anila Skariah","Assistant Professor","St Berchmans College (Autonomous), Changanaserry, Kerala 686101","Department of Economics","Ph.D","",,,,,,,,,,,,,,
276799,"Dr Anima Vaish","Associate Professor","IIS (Deemed to be University), Jaipur","Department of Social Sciences","Ph.D","University of Rajasthan",2008,,,,,,,,,,,,,
459842,"Prof Anindita Ghosh","Assistant Professor","St. Xavier's College (Autonomous), Kolkata","Post-Graduate and Research Department of Commerce","M.Phil","University of Calcutta",2002,,,,,,,,,,,,,3
223587,"Prof Anindita Roy Saha","Professor","Indraprastha College for Women","Economics","Ph. D.","Jawaharlal Nehru University",1998,,,,,,,,,,,,,18
493486,"Dr Anindita Sengupta","Associate Professor","Barrackpore Rastraguru Surendranath College","Economics","Ph.D.","University of Calcutta",2011,"M.Sc","University of Calcutta",1994,"B.Sc. Honours","Dinabandhu Andrews College",1992,,,,,,,33
121836,"Dr Anindita  Sen","Associate Professor","Calcutta University","Department of Economics","Ph.D","Jadavpur University",2007,,,,,,,,,,,,,
337647,"Dr Anjali  PK","Assistant Professor","Christ University","Department of Economics","Ph D In economics","Kannur University",2021,"NET","",2017,"MA Economics","Govt Brennen College",2016,"BA Economics","Govt Brennen College",2014,"Plus Two","Sree Narayana Vidya Mandir",2011,9
380558,"Dr Anjali Prasad","Professor","Patliputra University, Patna","Thakur Prasad Singh College","Ph.D.","Magadh University",1997,,,,,,,,,,,,,2
466117,"Dr Anjali Rajan","Assistant Professor","Mahindra University","Department of Management","PhD","IIM,Calcutta",,,,,,,,,,,,,,
392118,"Dr Anjali Sankar","Assistant Professor","Mar Ivanios College (Autonomous), Thiruvananthapuram","Department of Analytical Economics","PhD","Jain University",2022,"M A","Loyola College, Chennai",2016,"B A","Mar Ivanios College (Autonomous), Thiruvananthapuram",2014,,,,,,,4
341090,"Dr Anjana Mani","Associate Professor","Mount Carmel College, Bangalore","Department of Economics","Ph. D","Bangalore University",2017,,,,,,,,,,,,,3
156212,"Dr Anjana Thampi","Assistant Professor","O P Jindal Global University","Jindal Global Law School","M.Phil; Ph.D.","Jawaharlal Nehru University",,,,,,,,,,,,,,7
65765,"Prof Anjila Gupta","Vice Chancellor","Jamshedpur Women’s University, Jamshedpur","undefined","Ph.D","",,,,,,,,,,,,,,
357512,"Dr Anju Susan Thomas","Assistant Professor (Grade-II)","Govt.College, Nedumangad","Economics","Ph.D","University of Hyderabad",2021,,,,,,,,,,,,,1
161709,"Prof Ankita Dash","Assistant Professor","Indian Institute of Management Nagpur","Economics and Social Sciences","Ph.D","Indian Institute of Management, Bangalore",2019,,,,,,,,,,,,,8
520392,"Dr Ankita Rastogi","Assistant Professor","Hemvati Nandan Bahuguna Garhwal University","Deaprtment of Economics (Srinagar)","PhD","Jawaharlal Nehru University",2023,,,,,,,,,,,,,
425658,"Prof Ankita Sangle","Assistant Professor","Vishwakarma University","Department of Economics","M.Sc","Gokhale Institute of Politics and Economics",2018,,,,,,,,,,,,,
434812,"Dr Ankita Sarmah","Faculty","National Institute of Technology, Goa","Department of Humanities and Social Sciences","Ph.D.","National Institute of Technology Sikkim",2022,,,,,,,,,,,,,4
187469,"Dr Annapoorna Swamy","Director","CMR University, Bangalore","School of Economics and Commerce","Ph.D in Econmics","Mysore University",1997,,,,,,,,,,,,,1
465162,"Dr Annavarapu  Lavanya Kumari ","Assistant Professor","Adikavi Nannaya University","Economics","Ph.D.","Andhra University",2006,,,,,,,,,,,,,
264008,"Dr Annie Abraham","Associate Professor","Womens Christian College","Corporate Economics","Ph.D.","Cochin University of Science and Technology",2003,,,,,,,,,,,,,
173236,"Dr Anthonima Kenneth Robin","Assistant Professor","St. Aloysius College, Jabalpur","Department of Arts","Ph. D.","ST. ALOYSIUS COLLEGE(AUTONOMOUS), JABALPUR,",2001,,,,,,,,,,,,,17
56186,"Dr Anubha Dhasmana","Assistant Professor","Indian Institute of Management, Bangalore","Economics and Social Sciences","Ph.D","Johns Hopkins University, Baltimore, MD, USA",,,,,,,,,,,,,,5
286964,"Dr Anumol K A","Assistant Professor","Sree Sankara College","Department of Economics","PhD","Mahatma Gandhi University, Kerala",2019,"MPhil","Cochin University of Science and Technology",2012,"MA","Mahatma Gandhi University",2008,,,,,,,8
112132,"Dr Anupa Jacob","Associate Professor","St. Teresas College (Autonomous), Ernakulam","Department of Economics","Ph.D","Mahatma Gandhi University, Kerala",2014,"National Eligibility Test (NET)","UGC",2006,"State Eligibility Test (SET)","Kerala State",2006,"BE.d","St. Joseph College",2005,"MA Economics","ST. TERESAS COLLEGE (AUTONOMOUS), ERNAKULAM",2004,14
114144,"Dr Anupreet Kaur Mavi","Assistant Professor","Panjab University, Chandigarh","University Institute of Applied Management Sciences","Ph.D","Panjab University, Chandigarh",,,,,,,,,,,,,,4
211938,"Dr Anuradha P","Assistant Professor","St. Mary's college (Autonomous)","Department of Economics","PhD","Manonmaniam Sundaranar University, Tirunelveli",2021,,,,,,,,,,,,,12
237254,"Dr Anuradha Palla","Assistant Professor","National Institute of Rural Development and Panchayati Raj","Centre for Wage Employment and Livelihoods","Ph.D","Andhra University",2013,,,,,,,,,,,,,10
138548,"Dr Anuradha Patnaik","Associate Professor","University of Mumbai","Department of Economics","PhD","Indian Institute of Technology Bombay, Maharashtra",2008,,,,,,,,,,,,,
215539,"Dr Anushree S Panikkassery","Assistant Professor","Christ University","Department of Economics","Ph.D","Central University of Tamil Nadu",2021,"Integrated Masters","University of Hyderabad",2016,,,,,,,,,,2
425393,"Dr Anusree Paul","Associate Professor","BML Munjal University","School of Management","PhD","",,,,,,,,,,,,,,
291414,"Dr Anusuya Biswas","Associate Professor","Alliance University","Department of Economics","Ph.D","Amity University, Noida",2021,,,,,,,,,,,,,7
158219,"Dr Anwesha Aditya","Assistant Professor (Grade-I)","Indian Institute of Technology Kharagpur","Department of Humanities and Social Sciences","Ph.D","Jadavpur University",,,,,,,,,,,,,,8
262525,"Prof Aparna Negi","Professor","Himachal Pradesh University","Department of Economics","Ph. D","HP University",2002,,,,,,,,,,,,,
54407,"Dr Aparna Samudra","Assistant Professor","Rashtrasant Tukadoji Maharaj Nagpur University","Department of Economics","Ph.D","Rashtrasant Tukadoji Maharaj Nagpur University",2011,,,,,,,,,,,,,4
138157,"Dr Apoorva Arun Marathe","Associate Professor","Cuncolim Educational Society’s College of Arts and Commerce","Department of Economics","PhD","",,,,,,,,,,,,,,
162983,"Dr Archana Saxena","Assistant Professor","Uttaranchal University","Department of Management","Ph.D","MJP University, Bareilly",2019,,,,,,,,,,,,,
228466,"Dr Archana Shukla","Assistant Professor","Chhatrapati Shahu Ji Maharaj University","Department of Economics","PhD","",,,,,,,,,,,,,,
229231,"Dr Archana Srivastava","Associate Professor","Birla Institute of Technology and Science, Pilani","Department of Economics and Finance","Ph.D","Indian Institute of Technology Kanpur",2013,,,,,,,,,,,,,16
57931,"Dr Archita Ghosh","Associate Professor","University of Kalyani","Department of Economics","Ph.D.","Jadavpur University",,,,,,,,,,,,,,
121854,"Dr Arijita  Dutta","Associate Professor","Calcutta University","Department of Economics","Ph.D","University of Calcutta",,,,,,,,,,,,,,20
242768,"Dr Arockia Sarvia","Assistant Professor","Arul Anandar College","Department of Economics","PhD","Loyola College Chennai",2006,,,,,,,,,,,,,
295502,"Dr Arpita Banerjee","Assistant Professor","Garhbeta College","Department of Economics","PhD","University of New Hampshire, USA",2010,"MA","University of New Hampshire, USA",2005,"M.Sc.","University of Calcutta",2001,,,,,,,13
124365,"Prof Arpita Ghose","Professor","Jadavpur University","Department of Economics","Ph.D","",,,,,,,,,,,,,,16
47925,"Prof Arti U.  Nanavati","Professor","The Maharaja Sayajirao University of Baroda","Department of Economics","Ph. D.","",,,,,,,,,,,,,,
36787,"Dr Arumugam Kalaimathy","Professor","Mother Teresa Women University","Department of Economics","M A, M Phil, M Ed, Ph D,(Agriucltural Economics) , A Study on Agricultural Labourers and Marginal Farms in Kodaikanal upper Hill Region in Tamil Nadu","",,,,,,,,,,,,,,
213703,"Dr Aruna M","Assistant Professor","Sri Meenakshi Government Arts College for Women, Madurai","Department of Economics","PhD","Madurai Kamaraj University, Madurai",2014,,,,,,,,,,,,,3
371636,"Dr Arunarani M","Assistant Professor","Kandaswami Kandars College","PG and Research Department of Economics","PhD","Kandaswami Kandars college Velur",2013,"M.Phil","Periyar University PRIDE",2003,"B.Ed","Avanisilingam Deemed University",1999,"MA","Kandaswami Kandars College",1997,"BA","Avanisilingam Deemed University",1994,10
57917,"Dr Arundhati Datta","Associate Professor","University of Kalyani","Department of Economics","Ph.D.","University of Kalyani",,,,,,,,,,,,,,1
88345,"Dr Arundhati Sarkar Bose","Professor","XLRI - Xavier School of Management","Department of Economics","Ph.D","Jawaharlal Nehru University",,,,,,,,,,,,,,8
266552,"Dr Arvinder  Kaur","Assistant Professor (Grade-III)","Galgotias University","school of Business","PhD in Economics","Guru Nanak Dev University",2010,,,,,,,,,,,,,11
141117,"Dr Arvuda Mehta","Assistant Professor","Goswami Ganesh Dutta Sanatan Dharma College","Department of Economics","Ph.D","Panjab University, Chandigarh",2018,,,,,,,,,,,,,5
